objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Max Derruau.jfif,,,Max Derruau,,,Geografo y geomorflogo,Autores,Francia,43.3049,3.1615,https://www.babelio.com/auteur/Max-Derruau/106963,pg_9_12_01bl,Image;StillImage,image/jfif,eng,Public domain,
coll002,capel.jpg,,,Horacio Capel,,,Geografo urbano,"Autores, investigadores",España,36.4333,4.2657,,,Image;StillImage,,,,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,